token,gold,spacy_nl_core_news_lg,spacy_nl_core_news_sm,gysbert,gysbert_2,robbert,xlm
Mier,PROPN,PROPN,PROPN,DET,NOUN,ADP,DET
sahit,PROPN,NOUN,NOUN,X,X,ADP,PUNCT
Inhamet,PROPN,PROPN,PROPN,ADV,X,AUX,PRON
",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
op,ADP,ADP,ADP,DET,ADP,ADP,ADV
ontfangst,NOUN,NOUN,NOUN,NOUN,VERB,,NOUN
van,ADP,ADP,ADP,ADP,ADP,ADP,ADP
dat,DET,SCONJ,DET,DET,X,DET,PRON
„,PUNCT,PUNCT,SYM,DET,ADJ,X,PRON
schrijvens,NOUN,NOUN,NOUN,NOUN,NOUN,X,X
",",PUNCT,PUNCT,PUNCT,ADP,DET,ADP,ADP
dato,NOUN,ADV,ADV,DET,ADP,ADP,ADP
29„e,NUM,SYM,SYM,NOUN,NUM,PUNCT,PUNCT
xb,SYM,SYM,CCONJ,PUNCT,SYM,AUX,PRON
:,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
te,ADP,ADP,ADP,ADP,AUX,AUX,AUX
laten,AUX,VERB,VERB,AUX,AUX,AUX,AUX
versoecken,VERB,NOUN,VERB,VERB,VERB,VERB,VERB
",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
dat,SCONJ,SCONJ,SCONJ,DET,SCONJ,CCONJ,SCONJ
hij,PRON,PRON,PRON,PRON,PRON,X,PRON
ten,ADP,ADP,ADP,ADP,ADP,ADP,DET
Eersten,ADJ,PROPN,X,ADJ,ADJ,NOUN,NOUN
ordre,NOUN,NOUN,PROPN,AUX,NOUN,,DET
geliefde,AUX,ADJ,ADJ,AUX,AUX,ADV,
te,ADP,ADP,ADP,ADP,ADP,ADP,ADP
stellen,VERB,VERB,VERB,VERB,VERB,VERB,VERB
",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
aen,ADP,ADP,VERB,ADP,ADP,ADP,ADP
wie,ADV,PRON,PRON,X,ADV,PUNCT,PUNCT
dat,SCONJ,SCONJ,SCONJ,PUNCT,PUNCT,X,X
men,PRON,PRON,PRON,AUX,AUX,X,VERB
",",PUNCT,PUNCT,PUNCT,ADP,PUNCT,ADP,ADP
de,DET,DET,DET,DET,DET,DET,DET
gestipuleerde,ADJ,VERB,VERB,ADJ,NOUN,NOUN,ADP
recognitie,NOUN,NOUN,NOUN,ADJ,NOUN,PUNCT,PUNCT
goederen,NOUN,NOUN,VERB,SCONJ,PUNCT,PUNCT,ADP
nu,ADV,ADV,ADV,ADP,PUNCT,AUX,ADP
geeven,VERB,VERB,VERB,ADP,,ADP,ADV
bal,AUX,NOUN,NOUN,X,VERB,VERB,AUX
",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,X
en,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
niet,ADV,ADV,ADV,ADV,X,VERB,PRON
verpligt,VERB,VERB,VERB,ADV,ADV,ADV,ADV
",",PUNCT,PUNCT,PUNCT,AUX,AUC,PUNCT,CCONJ
als,CCONJ,SCONJ,SCONJ,DET,DET,ADP,PRON
pro,ADP,PROPN,NOUN,DET,ADP,PUNCT,DET
dato,NOUN,PROPN,PROPN,X,NOUN,X,X
soo,ADV,PROPN,PROPN,PUNCT,ADV,DET,DET
Lange,ADJ,PROPN,PROPN,ADJ,ADJ,X,X
aen,ADV,PROPN,AUX,ADV,ADV,ADV,ADV
tehouden,VERB,VERB,VERB,X,VERB,VERB,VERB
",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
sulx,CCONJ,DET,NOUN,SCONJ,SCONJ,SCONJ,SCONJ
thans,ADV,ADV,ADV,SCONJ,SCONJ,ADP,SCONJ
de,DET,DET,DET,DET,DET,DET,DET
zijde,NOUN,NOUN,NOUN,NOUN,NOUN,ADP,ADP
buijten,ADP,VERB,NOUN,CCONJ,SYM,ADP,ADP
belastinge,NOUN,ADJ,ADJ,,,PUNCT,X
daer,ADV,NOUN,NOUN,ADV,ADV,ADV,ADV
van,ADV,ADP,ADP,X,ADV,ADP,ADP
overgaet,VERB,NOUN,NOUN,AUX,VERB,AUX,AUX
",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
en,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,SCONJ,CCONJ
na,ADV,ADP,ADP,ADP,ADP,ADP,SCONJ
deesen,DET,NOUN,NOUN,ADV,DET,X,X
dat,DET,PRON,SCONJ,ADP,AUX,ADP,X
bedragen,NOUN,VERB,NOUN,X,AUX,X,PRON
",",PUNCT,PUNCT,PUNCT,PUNCT,ADP,PUNCT,PUNCT
eerst,ADV,ADV,ADV,ADP,ADP,SCONJ,ADP
het,DET,DET,DET,ADP,DET,SCONJ,ADP
comptoir,NOUN,NOUN,PROPN,NOUN,NOUN,X,NOUN
generael,NOUN,NOUN,PROPN,PUNCT,NOUN,VERB,AUX
aengereekend,VERB,VERB,VERB,,VERB,AUX,ADP
;,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
en,CCONJ,CCONJ,CCONJ,ADP,CCONJ,SCONJ,CCONJ
ten,ADP,ADP,ADP,ADP,ADP,ADP,ADP
Lasten,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
gebragt,VERB,VERB,VERB,PUNCT,VERB,VERB,CCONJ
sal,AUX,ADP,ADV,AUX,AUX,AUX,ADP
kunnen,AUX,AUX,AUX,AUX,AUX,X,ADP
werden,AUX,AUX,AUX,VERB,AUX,AUX,PUNCT
