token;token_id;anchor_type;event_anno;event_resolve1;event_resolve2;event_resolve3;anchor_resolve;event_resolve4;final_anchor;final_event
ee;1-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
eee;1-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
phemmeer;1-3;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
uit;2-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
algem;2-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
.;2-3;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Voestuur;2-4;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
1628;2-5;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
.;2-6;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
devemb;3-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Reteuir;3-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ut;3-3;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Ohna;3-4;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
.;3-5;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Hlaux;4-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
na;4-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Redel;4-3;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
.;4-4;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
affvanden;4-5;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
6January;5-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ƒ;6-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
d;6-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
1e;6-3;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ee;7-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
en;7-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
vee;8-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ee;8-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ve;9-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
e;9-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ee;9-3;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Ed;10-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
:;10-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Erentfebte;10-3;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;10-4;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Achtbare;10-5;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;10-6;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
wijse;10-7;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;10-8;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
voorsienige;10-9;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
seer;10-10;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
discrete;10-11;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Heeren;10-12;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Qulans;11-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Tsedert;12-1;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
onsen;12-2;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Jongsten;12-3;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
hier;12-4;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
neuens;12-5;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
in;12-6;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
copie;12-7;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
gaende;12-8;('isOfType', 'isOfType', '0', '0');('Transportation', 'Transportation', 'Translocation', '0');('Transportation', 'Transportation', 'Translocation', '0');Translocation;Translocation;evokes;Transportation;evokes;Transportation
);12-9;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
met;12-10;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
de;12-11;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Schepen;12-12;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Frederick;12-13;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Benrick;12-14;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-15;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Bollandia;12-16;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-17;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Twdapen;12-18;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
van;12-19;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Eelff;12-20;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-21;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
s'landts;12-22;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
hollandia;12-23;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ende;12-24;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
de;12-25;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Galias;12-26;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
den;12-27;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
12en;12-28;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
November;12-29;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
past;12-30;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
in;12-31;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Compe;12-32;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
van;12-33;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Battania-;12-34;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
gescheijden;12-35;('0', '0', 'isOfType', 'isOfType');('Leaving', 'Leaving', 'Leaving', 'Leaving');Leaving;Leaving;Leaving;('0', '0', 'isOfType', 'isOfType');Leaving;isOfType;Leaving
,;12-36;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ende;12-37;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
den;12-38;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
15en;12-39;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
.;12-40;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
do;12-41;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
door;12-42;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
de;12-43;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
strate;12-44;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
