,token_id,token,anchor_type_tocheck,event_anno_tocheck
0,1-1,ee,"('0', '0', '0', '0')",0
1,1-2,eee,"('0', '0', '0', '0')",0
2,1-3,phemmeer,"('0', '0', '0', '0')",0
3,2-1,uit,"('0', '0', '0', '0')",0
4,2-2,algem,"('0', '0', '0', '0')",0
5,2-3,.,"('0', '0', '0', '0')",0
6,2-4,Voestuur,"('0', '0', '0', '0')",0
7,2-5,1628,"('0', '0', '0', '0')",0
8,2-6,.,"('0', '0', '0', '0')",0
9,3-1,devemb,"('0', '0', '0', '0')",0
10,3-2,Reteuir,"('0', '0', '0', '0')",0
11,3-3,ut,"('0', '0', '0', '0')",0
12,3-4,Ohna,"('0', '0', '0', '0')",0
13,3-5,.,"('0', '0', '0', '0')",0
14,4-1,Hlaux,"('0', '0', '0', '0')",0
15,4-2,na,"('0', '0', '0', '0')",0
16,4-3,Redel,"('0', '0', '0', '0')",0
17,4-4,.,"('0', '0', '0', '0')",0
18,4-5,affvanden,"('0', '0', '0', '0')",0
19,5-1,6January,"('0', '0', '0', '0')",0
20,6-1,ƒ,"('0', '0', '0', '0')",0
21,6-2,d,"('0', '0', '0', '0')",0
22,6-3,1e,"('0', '0', '0', '0')",0
23,7-1,ee,"('0', '0', '0', '0')",0
24,7-2,en,"('0', '0', '0', '0')",0
25,8-1,vee,"('0', '0', '0', '0')",0
26,8-2,ee,"('0', '0', '0', '0')",0
27,9-1,ve,"('0', '0', '0', '0')",0
28,9-2,e,"('0', '0', '0', '0')",0
29,9-3,ee,"('0', '0', '0', '0')",0
30,10-1,Ed,"('0', '0', '0', '0')",0
31,10-2,:,"('0', '0', '0', '0')",0
32,10-3,Erentfebte,"('0', '0', '0', '0')",0
33,10-4,",","('0', '0', '0', '0')",0
34,10-5,Achtbare,"('0', '0', '0', '0')",0
35,10-6,",","('0', '0', '0', '0')",0
36,10-7,wijse,"('0', '0', '0', '0')",0
37,10-8,",","('0', '0', '0', '0')",0
38,10-9,voorsienige,"('0', '0', '0', '0')",0
39,10-10,seer,"('0', '0', '0', '0')",0
